First name,Last name,Team,Weapon,Wins,Losses,University 
,Fan,Women,Epee,6,4,Ohio State
,Feng,Women,Epee,2,4,Ohio State
,Mazur,Women,Epee,55,21,Ohio State
,Popa,Women,Epee,0,3,Ohio State
,Santos,Women,Epee,5,3,Ohio State
,Semikin,Women,Epee,30,29,Ohio State
,Viveros,Women,Epee,19,15,Ohio State
,Weiss,Women,Epee,17,16,Ohio State
,Whittemore,Women,Epee,20,30,Ohio State
,Zhou,Women,Epee,13,7,Ohio State
Jared,Hammerstrom,Men,Saber,24,15,Stanford
Max,Scherer,Men,Saber,11,28,Stanford
Nash,Young,Men,Saber,15,24,Stanford
Draper,Dayton,Men,Foil,2,7,Stanford
Joshua,Kang,Men,Foil,5,21,Stanford
Sanjay,Kasi,Men,Foil,19,19,Stanford
Luke,Park,Men,Foil,14,24,Stanford
Alexander,Jeon,Men,Foil,3,0,Stanford
Alexander,Jeon,Men,Epee,15,18,Stanford
Connor,Jeong,Men,Epee,15,18,Stanford
Kai,Rayle,Men,Epee,23,10,Stanford
Stanley,Zhou,Men,Epee,5,13,Stanford
Casey,Chan,Women,Saber,17,10,Stanford
Jeanette,Han,Women,Saber,8,16,Stanford
Charlotte,He,Women,Saber,5,8,Stanford
Shining,Xi,Women,Saber,7,8,Stanford
Erika,Yong,Women,Saber,10,7,Stanford
Joy,Yun,Women,Saber,24,3,Stanford
Arianna,Cao,Women,Foil,9,3,Stanford
Haley,Koo,Women,Foil,16,11,Stanford
Crystal,Qian,Women,Foil,18,11,Stanford
Sofia,Raso,Women,Foil,16,14,Stanford
Ellen,Wang,Women,Foil,11,14,Stanford
Lauren,McLane,Women,Epee,17,25,Stanford
Meghana,Paturu,Women,Epee,1,1,Stanford
Joelle,Warden,Women,Epee,0,38,Stanford
Irene,Yeu,Women,Epee,23,16,Stanford
Jeanette,Han,Women,Epee,0,3,Stanford
Haley,Koo,Women,Epee,1,0,Stanford
Joy,Yun,Women,Epee,0,1,Stanford
