gender,weapon,team_a_id,team_b_id,fencer_a_name,score_a,fencer_b_name,score_b,order,ncaa_status,fencer_a_id,fencer_b_id,id,match_id,index
women,epee,ohiostate,denison,Erika Gumagay,5,Claire Anderson,2,9,TRUE,154,188,99,3,72
women,saber,ohiostate,denison,Grace Fan,5,Corvus Endo,0,1,TRUE,147,191,100,3,73
women,saber,ohiostate,denison,Maria Alexe,2,Natalie Isberg,5,2,TRUE,138,194,101,3,74
women,saber,ohiostate,denison,Katherine Larimer,5,Joyce Yu,1,3,TRUE,160,203,102,3,75
women,saber,ohiostate,denison,Maria Alexe,2,Corvus Endo,5,4,TRUE,138,191,103,3,76
women,saber,ohiostate,denison,Grace Fan,5,Joyce Yu,4,5,TRUE,147,203,104,3,77
women,saber,ohiostate,denison,Katherine Larimer,2,Natalie Isberg,5,6,TRUE,160,194,105,3,78
women,saber,ohiostate,denison,Maria Alexe,5,Joyce Yu,2,7,TRUE,138,203,106,3,79
women,saber,ohiostate,denison,Katherine Larimer,3,Corvus Endo,5,8,TRUE,160,191,107,3,80
women,saber,ohiostate,denison,Grace Fan,5,Natalie Isberg,1,9,TRUE,147,194,108,3,81
women,epee,clevelandstate,denison,Rayllen Prafil Capaccio,5,Chi Chi Agu,0,1,TRUE,120,187,109,4,82
women,epee,clevelandstate,denison,Maggie Mihill,4,Claire Anderson,5,2,TRUE,118,188,110,4,83
women,epee,clevelandstate,denison,Maia Taylor Casamayor,3,Nicole Krumholz,5,3,TRUE,122,196,111,4,84
women,epee,clevelandstate,denison,Maggie Mihill,4,Chi Chi Agu,5,4,TRUE,118,187,112,4,85
women,epee,clevelandstate,denison,Rayllen Prafil Capaccio,3,Nicole Krumholz,2,5,TRUE,120,196,113,4,86
women,epee,clevelandstate,denison,Maia Taylor Casamayor,5,Claire Anderson,2,6,TRUE,122,188,114,4,87
women,epee,clevelandstate,denison,Maggie Mihill,4,Nicole Krumholz,5,7,TRUE,118,196,115,4,88
women,epee,clevelandstate,denison,Maia Taylor Casamayor,4,Chi Chi Agu,5,8,TRUE,122,187,116,4,89
women,epee,clevelandstate,denison,Rayllen Prafil Capaccio,4,Claire Anderson,5,9,TRUE,120,188,117,4,90
women,saber,clevelandstate,denison,,,Corvus Endo,,1,TRUE,,191,118,4,91
women,saber,clevelandstate,denison,Aubrey Testroet,5,Joyce Yu,3,2,TRUE,123,203,119,4,92
women,saber,clevelandstate,denison,Samantha Way,1,Natalie Isberg,5,3,TRUE,124,194,120,4,93
women,saber,clevelandstate,denison,Aubrey Testroet,4,Corvus Endo,5,4,TRUE,123,191,121,4,94
women,saber,clevelandstate,denison,,,Natalie Isberg,,5,TRUE,,194,122,4,95
women,saber,clevelandstate,denison,Samantha Way,2,Joyce Yu,5,6,TRUE,124,203,123,4,96
women,saber,clevelandstate,denison,Aubrey Testroet,5,Natalie Isberg,3,7,TRUE,123,194,124,4,97
women,saber,clevelandstate,denison,Samantha Way,2,Corvus Endo,5,8,TRUE,124,191,125,4,98
women,saber,clevelandstate,denison,,,Joyce Yu,,9,TRUE,,203,126,4,99
women,foil,clevelandstate,denison,Anna Quinn,,Lal Ertun,,1,TRUE,121,192,127,4,100
women,foil,clevelandstate,denison,,,Velma Hall,,2,TRUE,,193,128,4,101
women,foil,clevelandstate,denison,Evelyn Malvestuto,,Bella Musto,,3,TRUE,116,198,129,4,102
women,foil,clevelandstate,denison,Anna Quinn,,Lal Ertun,,4,TRUE,121,192,130,4,103
women,foil,clevelandstate,denison,,,Alaina Cabalu,,5,TRUE,,190,131,4,104
women,foil,clevelandstate,denison,Evelyn Malvestuto,,Velma Hall,,6,TRUE,116,193,132,4,105
women,foil,clevelandstate,denison,,,Bella Musto,,7,TRUE,,198,133,4,106
women,foil,clevelandstate,denison,Evelyn Malvestuto,,Lal Ertun,,8,TRUE,116,192,134,4,107
women,foil,clevelandstate,denison,Anna Quinn,,Velma Hall,,9,TRUE,121,193,135,4,108
