Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
fdu,21,7,8,6,ccny,6,2,1,3,2024-02-11,fdu
njit,21,7,8,6,hunter,5,2,1,2,2024-02-11,fdu
fdu,22,9,7,6,yeshiva,4,0,2,2,2024-02-11,fdu
drew,22,6,8,8,hunter,5,3,1,1,2024-02-11,fdu
njit,22,8,8,6,ccny,5,1,1,3,2024-02-11,fdu
drew,22,6,7,9,ccny,5,3,2,0,2024-02-11,fdu
njit,22,7,9,6,fdu,4,2,0,2,2024-02-11,fdu
stevens,27,9,9,9,yeshiva,0,0,0,0,2024-02-11,fdu
stevens,26,9,8,9,ccny,1,0,1,0,2024-02-11,fdu
njit,14,7,5,2,drew,13,2,4,7,2024-02-11,fdu
hunter,20,9,5,6,yeshiva,5,0,4,1,2024-02-11,fdu
drew,18,6,4,8,fdu,9,3,5,1,2024-02-11,fdu
njit,24,9,9,6,yeshiva,1,0,0,1,2024-02-11,fdu
stevens,22,7,7,8,hunter,5,2,2,1,2024-02-11,fdu
stevens,23,6,9,8,fdu,4,3,0,1,2024-02-11,fdu
hunter,18,6,8,4,ccny,9,3,1,5,2024-02-11,fdu
drew,23,9,7,7,yeshiva,4,0,2,2,2024-02-11,fdu
ccny,18,8,4,6,yeshiva,9,1,5,3,2024-02-11,fdu
fdu,15,4,7,4,hunter,11,5,2,4,2024-02-11,fdu
columbia,19,5,7,7,brown,8,4,2,2,2024-02-10,columbia
harvard,15,3,6,6,cornell,12,6,3,3,2024-02-10,columbia
upenn,17,5,8,4,yale,10,4,1,5,2024-02-10,columbia
columbia,15,7,3,5,cornell,12,2,6,4,2024-02-10,columbia
princeton,16,5,5,6,harvard,11,4,4,3,2024-02-10,columbia
yale,19,6,8,5,brown,8,3,1,4,2024-02-10,columbia
harvard,17,4,8,5,brown,10,5,1,4,2024-02-10,columbia
columbia,14,5,5,4,upenn,13,4,4,5,2024-02-10,columbia
princeton,17,4,5,8,cornell,10,5,4,1,2024-02-10,columbia
upenn,23,9,7,7,brown,4,0,2,2,2024-02-10,columbia
princeton,16,2,7,7,columbia,11,7,2,2,2024-02-10,columbia
yale,14,6,5,3,cornell,13,3,4,6,2024-02-10,columbia
princeton,21,4,9,8,brown,6,5,0,1,2024-02-10,columbia
upenn,15,7,3,5,harvard,12,2,6,4,2024-02-10,columbia
columbia,20,5,8,7,yale,7,4,1,2,2024-02-10,columbia
cornell,15,3,6,6,brown,12,6,3,3,2024-02-10,columbia
yale,17,8,3,6,harvard,10,1,6,3,2024-02-10,columbia
upenn,14,6,4,4,princeton,13,3,5,5,2024-02-10,columbia
columbia,16,8,3,5,harvard,11,1,6,4,2024-02-10,columbia
upenn,16,7,6,3,cornell,11,2,3,6,2024-02-10,columbia
princeton,18,5,5,8,yale,9,4,4,1,2024-02-10,columbia
nyu,18,5,4,9,liu,9,4,5,0,2024-02-10,unc
northwestern,18,6,7,5,temple,9,3,2,4,2024-02-10,unc
bostoncollege,17,6,6,5,unc,10,3,3,4,2024-02-10,unc
northwestern,18,5,6,7,nyu,9,4,3,2,2024-02-10,unc
temple,15,5,5,5,bostoncollege,12,4,4,4,2024-02-10,unc
unc,18,2,7,9,liu,9,7,2,0,2024-02-10,unc
northwestern,16,3,6,7,bostoncollege,11,6,3,2,2024-02-10,unc
temple,23,9,6,8,liu,4,0,3,1,2024-02-10,unc
unc,16,6,7,3,nyu,11,3,2,6,2024-02-10,unc
temple,23,7,7,9,nyu,4,2,2,0,2024-02-10,unc
temple,20,9,5,6,unc,7,0,4,3,2024-02-10,unc
unc,14,6,5,3,northwestern,13,3,4,6,2024-02-10,unc
northwestern,23,8,6,9,liu,4,1,3,0,2024-02-10,unc
bostoncollege,19,7,7,5,nyu,8,2,2,4,2024-02-10,unc
bostoncollege,21,6,6,9,liu,6,3,3,0,2024-02-10,unc
temple,27,9,9,9,detroitmercy,0,0,0,0,2024-02-04,northwestern
denison,16,9,1,6,incarnateword,11,0,8,3,2024-02-04,northwestern
cornell,22,9,6,7,lawrence,5,0,3,2,2024-02-04,northwestern
AirForce,27,9,9,9,fdu,0,0,0,0,2024-02-04,northwestern
northwestern,16,6,4,6,ohiostate,11,3,5,3,2024-02-04,northwestern
ucsd,16,5,5,6,bostoncollege,11,4,4,3,2024-02-04,northwestern
incarnateword,15,3,9,3,lawrence,11,5,0,6,2024-02-04,northwestern
AirForce,26,9,9,8,detroitmercy,1,0,0,1,2024-02-04,northwestern
temple,18,4,5,9,waynestate,9,5,4,0,2024-02-04,northwestern
cornell,20,5,8,7,stanford,7,4,1,2,2024-02-04,northwestern
ohiostate,17,5,6,6,ucsd,10,4,3,3,2024-02-04,northwestern
northwestern,17,4,5,8,bostoncollege,10,5,4,1,2024-02-04,northwestern
ucsd,19,9,1,9,fdu,8,0,8,0,2024-02-04,northwestern
northwestern,20,8,4,8,incarnateword,7,1,5,1,2024-02-04,northwestern
bostoncollege,18,5,7,6,denison,9,4,2,3,2024-02-04,northwestern
stanford,24,9,8,7,lawrence,3,0,1,2,2024-02-04,northwestern
cornell,19,5,5,9,waynestate,8,4,4,0,2024-02-04,northwestern
temple,17,5,5,7,AirForce,10,4,4,2,2024-02-04,northwestern
bostoncollege,27,9,9,9,detroitmercy,0,0,0,0,2024-02-04,northwestern
temple,19,7,4,8,incarnateword,8,2,5,1,2024-02-04,northwestern
ucsd,24,7,9,8,denison,3,2,0,1,2024-02-04,northwestern
ohiostate,22,9,7,6,incarnateword,5,0,2,3,2024-02-04,northwestern
stanford,25,9,7,9,fdu,2,0,2,0,2024-02-04,northwestern
northwestern,19,5,7,7,AirForce,8,4,2,2,2024-02-04,northwestern
cornell,15,4,5,6,ohiostate,12,5,4,3,2024-02-04,northwestern
cornell,27,9,9,9,detroitmercy,0,0,0,0,2024-02-04,northwestern
stanford,19,7,6,6,denison,8,2,3,3,2024-02-04,northwestern
northwestern,25,9,7,9,fdu,2,0,2,0,2024-02-04,northwestern
ucsd,23,8,8,7,lawrence,4,1,1,2,2024-02-04,northwestern
