Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
Northwestern,18,5,6,7,NYU,9,4,3,2,2024-02-10,Univ North Carolina
Temple,15,5,5,5,Boston College,12,4,4,4,2024-02-10,Univ North Carolina
North Carolina,18,2,7,9,LIU,9,7,2,0,2024-02-10,Univ North Carolina
Northwestern,16,3,6,7,Boston College,11,6,3,2,2024-02-10,Univ North Carolina
Temple,23,9,6,8,LIU,4,0,3,1,2024-02-10,Univ North Carolina
North Carolina,16,6,7,3,NYU,11,3,2,6,2024-02-10,Univ North Carolina
Temple,23,7,7,9,NYU,4,2,2,0,2024-02-10,Univ North Carolina
Temple,20,9,5,6,North Carolina,7,0,4,3,2024-02-10,Univ North Carolina
North Carolina,14,6,5,3,Northwestern,13,3,4,6,2024-02-10,Univ North Carolina
Northwestern,23,8,6,9,LIU,4,1,3,0,2024-02-10,Univ North Carolina
Boston College,19,7,7,5,NYU,8,2,2,4,2024-02-10,Univ North Carolina
Boston College,21,6,6,9,LIU,6,3,3,0,2024-02-10,Univ North Carolina
Temple,27,9,9,9,Detroit Mercy,0,0,0,0,2024-02-04,Northwestern
Denison,16,9,1,6,Incarnate Word,11,0,8,3,2024-02-04,Northwestern
Cornell,22,9,6,7,Lawrence,5,0,3,2,2024-02-04,Northwestern
Air Force,27,9,9,9,FDU,0,0,0,0,2024-02-04,Northwestern
Northwestern,16,6,4,6,Ohio State,11,3,5,3,2024-02-04,Northwestern
UC San Diego,16,5,5,6,Boston College,11,4,4,3,2024-02-04,Northwestern
Incarnate Word,15,3,9,3,Lawrence,11,5,0,6,2024-02-04,Northwestern
Air Force,26,9,9,8,Detroit Mercy,1,0,0,1,2024-02-04,Northwestern
Temple,18,4,5,9,Wayne State,9,5,4,0,2024-02-04,Northwestern
Cornell,20,5,8,7,Stanford,7,4,1,2,2024-02-04,Northwestern
Ohio State,17,5,6,6,UC San Diego,10,4,3,3,2024-02-04,Northwestern
Northwestern,17,4,5,8,Boston College,10,5,4,1,2024-02-04,Northwestern
UC San Diego,19,9,1,9,FDU,8,0,8,0,2024-02-04,Northwestern
Northwestern,20,8,4,8,Incarnate Word,7,1,5,1,2024-02-04,Northwestern
Boston College,18,5,7,6,Denison,9,4,2,3,2024-02-04,Northwestern
Stanford,24,9,8,7,Lawrence,3,0,1,2,2024-02-04,Northwestern
Cornell,19,5,5,9,Wayne State,8,4,4,0,2024-02-04,Northwestern
Temple,17,5,5,7,Air Force,10,4,4,2,2024-02-04,Northwestern
Boston College,27,9,9,9,Detroit Mercy,0,0,0,0,2024-02-04,Northwestern
Temple,19,7,4,8,Incarnate Word,8,2,5,1,2024-02-04,Northwestern
UC San Diego,24,7,9,8,Denison,3,2,0,1,2024-02-04,Northwestern
Ohio State,22,9,7,6,Incarnate Word,5,0,2,3,2024-02-04,Northwestern
Stanford,25,9,7,9,FDU,2,0,2,0,2024-02-04,Northwestern
Northwestern,19,5,7,7,Air Force,8,4,2,2,2024-02-04,Northwestern
Cornell,15,4,5,6,Ohio State,12,5,4,3,2024-02-04,Northwestern
Cornell,27,9,9,9,Detroit Mercy,0,0,0,0,2024-02-04,Northwestern
Stanford,19,7,6,6,Denison,8,2,3,3,2024-02-04,Northwestern
Northwestern,25,9,7,9,FDU,2,0,2,0,2024-02-04,Northwestern
UC San Diego,23,8,8,7,Lawrence,4,1,1,2,2024-02-04,Northwestern
Boston College,16,5,5,6,Air Force,11,4,4,3,2024-02-04,Northwestern
Wayne State,16,8,4,4,Incarnate Word,9,1,5,3,2024-02-04,Northwestern
Temple,15,4,5,6,Ohio State,12,5,4,3,2024-02-04,Northwestern
Stanford,27,9,9,9,Detroit Mercy,0,0,0,0,2024-02-04,Northwestern
Lawrence,20,5,6,9,FDU,7,4,3,0,2024-02-04,Northwestern
Boston College,14,4,6,4,Ohio State,13,5,3,5,2024-02-04,Northwestern
Stevens,17,2,6,9,NJIT,10,7,3,0,2024-02-04,Stevens Tech
Wagner,16,4,6,6,Vassar,11,5,3,3,2024-02-04,Wagner
Columbia,20,8,5,7,Wagner,7,1,4,2,2024-02-04,Wagner
Columbia,26,9,9,8,Lafayette,1,0,0,1,2024-02-04,Wagner
Columbia,25,9,7,9,Drew,2,0,2,0,2024-02-04,Wagner
Drew,19,6,7,6,Lafayette,8,3,2,3,2024-02-04,Wagner
Wagner,21,7,8,6,Lafayette,6,2,1,3,2024-02-04,Wagner
Wagner,19,5,7,7,Drew,8,4,2,2,2024-02-04,Wagner
UC San Diego,27,9,9,9,Detroit Mercy,0,0,0,0,2024-02-03,Northwestern
Incarnate Word,18,6,9,3,FDU,9,3,0,6,2024-02-03,Northwestern
Air Force,14,3,7,4,Denison,13,6,2,5,2024-02-03,Northwestern
Northwestern,14,5,5,4,Temple,13,4,4,5,2024-02-03,Northwestern
FDU,20,9,9,2,Detroit Mercy,7,0,0,7,2024-02-03,Northwestern
Ohio State,22,8,5,9,Wayne State,5,1,4,0,2024-02-03,Northwestern
Air Force,23,9,7,7,Cleveland State,4,0,2,2,2024-02-03,Northwestern
Temple,18,3,7,8,Denison,9,6,2,1,2024-02-03,Northwestern
Stanford,15,5,5,5,Boston College,12,4,4,4,2024-02-03,Northwestern
UC San Diego,17,4,4,9,Penn State,10,5,5,0,2024-02-03,Northwestern
Northwestern,16,5,6,5,Cornell,11,4,3,4,2024-02-03,Northwestern
Stanford,24,9,7,8,Cleveland State,3,0,2,1,2024-02-03,Northwestern
Ohio State,25,9,8,8,Incarnate Word,2,0,1,1,2024-02-03,Northwestern
Cornell,21,5,7,9,Denison,6,4,2,0,2024-02-03,Northwestern
Air Force,22,9,4,9,Wayne State,5,0,5,0,2024-02-03,Northwestern
Northwestern,14,5,5,4,UC San Diego,13,4,4,5,2024-02-03,Northwestern
Notre Dame,16,6,6,4,Boston College,11,3,3,5,2024-02-03,Northwestern
Incarnate Word,18,6,9,3,Detroit Mercy,6,0,0,6,2024-02-03,Northwestern
Penn State,17,9,8,0,FDU,10,0,1,9,2024-02-03,Northwestern
Temple,24,9,7,8,Lawrence,3,0,2,1,2024-02-03,Northwestern
Northwestern,14,4,5,5,Notre Dame,13,5,4,4,2024-02-03,Northwestern
Stanford,14,6,3,5,Ohio State,13,3,6,4,2024-02-03,Northwestern
Cornell,14,5,3,6,UC San Diego,13,4,6,3,2024-02-03,Northwestern
Denison,22,8,5,9,FDU,5,1,4,0,2024-02-03,Northwestern
Incarnate Word,17,6,8,3,Cleveland State,5,0,1,4,2024-02-03,Northwestern
Boston College,17,6,3,8,Wayne State,10,3,6,1,2024-02-03,Northwestern
Air Force,22,9,9,4,Lawrence,5,0,0,5,2024-02-03,Northwestern
Northwestern,20,7,4,9,Penn State,7,2,5,0,2024-02-03,Northwestern
Temple,18,6,7,5,Notre Dame,9,3,2,4,2024-02-03,Northwestern
Air Force,24,9,9,6,Lawrence,3,0,0,3,2024-02-03,Northwestern
Ohio State,26,9,8,9,Detroit Mercy,1,0,1,0,2024-02-03,Northwestern
UC San Diego,26,9,8,9,Cleveland State,1,0,1,0,2024-02-03,Northwestern
Stanford,16,7,3,6,Wayne State,8,2,6,0,2024-02-03,Northwestern
Boston College,27,9,9,9,Lawrence,0,0,0,0,2024-02-03,Northwestern
Cornell,16,5,7,4,Notre Dame,11,4,2,5,2024-02-03,Northwestern
Boston College,23,9,6,8,Incarnate Word,4,0,3,1,2024-02-03,Northwestern
Wayne State,22,8,9,5,FDU,5,1,0,4,2024-02-03,Northwestern
Penn State,14,7,7,0,Denison,13,2,2,9,2024-02-03,Northwestern
UC San Diego,18,7,5,6,Temple,9,2,4,3,2024-02-03,Northwestern
Ohio State,22,7,8,7,Lawrence,5,2,1,2,2024-02-03,Northwestern
Notre Dame,17,5,6,6,Stanford,10,4,3,3,2024-02-03,Northwestern
Cornell,18,4,5,9,Air Force,9,5,4,0,2024-02-03,Northwestern
FDU,15,9,2,4,Cleveland State,12,0,7,5,2024-02-03,Northwestern
Cornell,18,7,2,9,Incarnate Word,9,2,7,0,2024-02-03,Northwestern
Air Force,18,3,6,9,Penn State,9,6,3,0,2024-02-03,Northwestern
Stanford,16,6,7,3,Temple,11,3,2,6,2024-02-03,Northwestern
Brandeis,14,2,4,8,Wellesley,13,7,5,1,2024-01-30,Brandeis
