Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
stanford,18,9,3,6,clevelandstate,9,0,6,3,2024-02-03,northwestern
incarnateword,19,6,7,6,detroitmercy,5,0,2,3,2024-02-03,northwestern
bostoncollege,17,5,4,8,waynestate,10,4,5,1,2024-02-03,northwestern
notredame,24,8,7,9,lawrence,3,1,2,0,2024-02-03,northwestern
ohiostate,16,6,5,5,stanford,11,3,4,4,2024-02-03,northwestern
incarnateword,16,3,4,9,clevelandstate,11,6,5,0,2024-02-03,northwestern
ohiostate,22,8,7,7,waynestate,5,1,2,2,2024-02-03,northwestern
notredame,15,5,4,6,ucsd,12,4,5,3,2024-02-03,northwestern
AirForce,17,7,4,6,lawrence,10,2,5,3,2024-02-03,northwestern
AirForce,15,7,4,4,lawrence,12,2,5,5,2024-02-03,northwestern
ohiostate,24,9,7,8,detroitmercy,3,0,2,1,2024-02-03,northwestern
bostoncollege,19,9,3,7,lawrence,8,0,6,2,2024-02-03,northwestern
stanford,18,6,5,7,waynestate,9,3,4,2,2024-02-03,northwestern
ucsd,21,8,6,7,clevelandstate,6,1,3,2,2024-02-03,northwestern
notredame,22,9,5,8,incarnateword,5,0,4,1,2024-02-03,northwestern
ucsd,24,9,8,7,detroitmercy,3,0,1,2,2024-02-03,northwestern
waynestate,15,7,5,3,incarnateword,12,2,4,6,2024-02-03,northwestern
notredame,17,7,5,5,stanford,10,2,4,4,2024-02-03,northwestern
AirForce,15,8,3,4,incarnateword,12,1,6,5,2024-02-03,northwestern
upenn,16,5,4,7,stjohns,11,4,5,2,2024-01-28,liu
princeton,22,9,6,7,liu,5,0,3,2,2024-01-28,liu
princeton,18,6,5,7,columbia,9,3,4,2,2024-01-28,liu
upenn,22,8,8,6,liu,5,1,1,3,2024-01-28,liu
princeton,18,5,6,7,upenn,9,4,3,2,2024-01-28,liu
stjohns,15,3,6,6,columbia,12,6,3,3,2024-01-28,liu
columbia,22,9,7,6,liu,5,0,2,3,2024-01-28,liu
princeton,18,6,7,5,stjohns,9,3,2,4,2024-01-28,liu
stjohns,21,9,6,6,liu,6,0,3,3,2024-01-28,liu
nyu,14,4,8,2,harvard,13,5,1,7,2024-01-28,harvard
yale,19,7,4,8,shu,8,2,5,1,2024-01-27,yale
yale,19,4,7,8,vassar,8,5,2,1,2024-01-27,yale
waynestate,23,9,8,6,detroitmercy,4,0,1,3,2024-01-27,notredame
clevelandstate,16,5,7,4,lawrence,11,4,2,5,2024-01-27,notredame
notredame,18,8,3,7,waynestate,9,1,6,2,2024-01-27,notredame
waynestate,14,5,6,3,clevelandstate,13,4,3,6,2024-01-27,notredame
clevelandstate,23,9,8,6,detroitmercy,4,0,1,3,2024-01-27,notredame
notredame,24,8,8,8,lawrence,3,1,1,1,2024-01-27,notredame
notredame,26,9,9,8,detroitmercy,1,0,0,1,2024-01-27,notredame
waynestate,15,7,6,2,lawrence,11,2,3,6,2024-01-27,notredame
lawrence,23,9,7,7,detroitmercy,4,0,2,2,2024-01-27,notredame
notredame,22,9,5,8,clevelandstate,5,0,4,1,2024-01-27,notredame
bostoncollege,16,5,5,6,stevens,11,4,4,3,2024-01-27,brandeis
brandeis,14,7,5,2,njit,13,2,4,7,2024-01-27,brandeis
duke,18,6,4,8,haverford,9,3,5,1,2024-01-27,brandeis
mit,27,9,9,9,hunter,0,0,0,0,2024-01-27,brandeis
