Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber
Incarnate Word,18,6,9,3,FDU,9,3,0,6
Air Force,14,3,7,4,Denison,13,6,2,5
Northwestern,14,5,5,4,Temple,13,4,4,5
FDU,20,9,9,2,Detroit Mercy,7,0,0,7
Ohio State,22,8,5,9,Wayne State,5,1,4,0
Air Force,23,9,7,7,Cleveland State,4,0,2,2
Temple,18,3,7,8,Denison,9,6,2,1
Stanford,15,5,5,5,Boston College,12,4,4,4
UC San Diego,17,4,4,9,Penn State,10,5,5,0
Northwestern,16,5,6,5,Cornell,11,4,3,4
Stanford,24,9,7,8,Cleveland State,3,0,2,1
Ohio State,25,9,8,8,Incarnate Word,2,0,1,1
Cornell,21,5,7,9,Denison,6,4,2,0
Air Force,22,9,4,9,Wayne State,5,0,5,0
Northwestern,14,5,5,4,UC San Diego,13,4,4,5
Notre Dame,16,6,6,4,Boston College,11,3,3,5
Incarnate Word,18,6,9,3,Detroit Mercy,6,0,0,6
Penn State,17,9,8,0,FDU,10,0,1,9
Temple,24,9,7,8,Lawrence,3,0,2,1
Northwestern,14,4,5,5,Notre Dame,13,5,4,4
Stanford,14,6,3,5,Ohio State,13,3,6,4
Cornell,14,5,3,6,UC San Diego,13,4,6,3
Denison,22,8,5,9,FDU,5,1,4,0
Incarnate Word,17,6,8,3,Cleveland State,5,0,1,4
Boston College,17,6,3,8,Wayne State,10,3,6,1
Air Force,22,9,9,4,Lawrence,5,0,0,5
Northwestern,20,7,4,9,Penn State,7,2,5,0
Temple,18,6,7,5,Notre Dame,9,3,2,4
Air Force,24,9,9,6,Lawrence,3,0,0,3
Ohio State,26,9,8,9,Detroit Mercy,1,0,1,0
UC San Diego,26,9,8,9,Cleveland State,1,0,1,0
Stanford,16,7,3,6,Wayne State,8,2,6,0
Boston College,27,9,9,9,Lawrence,0,0,0,0
Cornell,16,5,7,4,Notre Dame,11,4,2,5
Boston College,23,9,6,8,Incarnate Word,4,0,3,1
Wayne State,22,8,9,5,FDU,5,1,0,4
Penn State,14,7,7,0,Denison,13,2,2,9
UC San Diego,18,7,5,6,Temple,9,2,4,3
Ohio State,22,7,8,7,Lawrence,5,2,1,2
Notre Dame,17,5,6,6,Stanford,10,4,3,3
Cornell,18,4,5,9,Air Force,9,5,4,0
FDU,15,9,2,4,Cleveland State,12,0,7,5
Cornell,18,7,2,9,Incarnate Word,9,2,7,0
Air Force,18,3,6,9,Penn State,9,6,3,0
Stanford,16,6,7,3,Temple,11,3,2,6
Brandeis,14,2,4,8,Wellesley,13,7,5,1
Penn,14,5,5,4,St Johns,13,4,4,5
Princeton,22,6,7,9,LIU,5,3,2,0
Columbia,14,6,4,4,Princeton,13,3,5,5
Penn,23,7,7,9,LIU,4,2,2,0
Penn,14,5,4,5,Princeton,13,4,5,4
Columbia,18,8,4,6,St Johns,9,1,5,3
Columbia,24,9,7,8,LIU,3,0,2,1
St Johns,16,5,8,3,Princeton,11,4,1,6
St Johns,21,5,7,9,LIU,6,4,2,0
Harvard,23,9,8,6,NYU,4,0,1,3
Yale,22,9,8,5,Sacred Heart,5,0,1,4
Yale,27,9,9,9,Vassar,0,0,0,0
Wayne State,22,9,9,4,Detroit Mercy,5,0,0,5
Lawrence,16,6,4,6,Cleveland State,8,0,5,3
Denison,16,9,2,5,Cleveland State,11,0,7,4
Notre Dame,21,8,4,9,Wayne State,6,1,5,0
Northwestern,27,9,9,9,Detroit Mercy,0,0,0,0
Denison,15,8,3,4,Lawrence,12,1,6,5
Wayne State,20,9,7,4,Cleveland State,6,0,2,4
Notre Dame,25,9,7,9,Lawrence,2,0,2,0
Cleveland State,15,0,9,6,Detroit Mercy,3,0,0,3
Northwestern,24,7,8,9,Denison,3,2,1,0
Northwestern,27,9,9,9,Cleveland State,0,0,0,0
Denison,15,5,1,9,Wayne State,12,4,8,0
Notre Dame,27,9,9,9,Detroit Mercy,0,0,0,0
Denison,24,9,8,7,Detroit Mercy,3,0,1,2
Wayne State,15,7,8,0,Lawrence,12,2,1,9
Northwestern,15,4,6,5,Notre Dame,12,5,3,4
Northwestern,20,6,5,9,Wayne State,7,3,4,0
Notre Dame,22,8,7,7,Denison,5,1,2,2
Lawrence,21,6,8,7,Detroit Mercy,3,0,1,2
